Unnamed: 0_level_0,Unnamed: 1_level_0,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,MISC,MISC,MISC,MISC
Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
97,Julio Jones (FA),24,43,299,12.5,48,3,2,5,45,0,0,10,58.4,5.8,0.6%
98,Trenton Irwin (JAC),15,23,231,15.4,45,3,4,1,11,0,0,9,55.7,6.2,0.0%
99,Dante Pettis (NO),19,41,245,12.9,51,2,3,2,37,0,0,17,55.7,3.3,0.6%
100,Tyquan Thornton (KC),22,45,247,11.2,29,4,2,3,16,1,0,12,55.3,4.6,0.0%
101,Equanimeous St. Brown (SF),21,38,323,15.4,56,5,1,6,54,0,0,16,54.2,3.4,0.1%
102,Tutu Atwell (LAR),18,35,298,16.6,62,5,1,9,34,1,0,13,54.2,4.2,6.5%
103,Ray-Ray McCloud III (ATL),14,25,243,17.4,42,5,1,4,78,1,0,17,51.1,3.0,3.6%
104,Justin Watson (HOU),15,34,315,21.0,67,6,2,0,0,0,0,17,51.0,3.0,1.0%
105,Shi Smith (FA),22,41,296,13.5,38,6,2,0,0,0,1,17,50.6,3.0,0.0%
106,Kadarius Toney (FA),16,20,171,10.7,38,4,2,7,82,1,1,9,49.3,5.5,0.6%
107,Braxton Berrios (HOU),18,32,145,8.1,25,2,0,9,91,2,0,17,48.7,2.9,0.6%
108,Jarvis Landry (FA),25,39,272,10.9,40,2,1,0,0,0,0,9,47.7,5.3,7.1%
109,A.J. Green (FA),24,47,236,9.8,77,1,2,0,0,0,0,13,46.1,3.5,0.7%
110,Rashod Bateman (BAL),15,28,285,19.0,75,5,2,0,0,0,1,6,46.0,7.7,34.2%
111,Damiere Byrd (FA),13,23,268,20.6,75,3,2,0,0,0,0,12,45.3,3.8,0.0%
112,Kendall Hinton (FA),24,33,311,13.0,35,5,0,2,13,0,0,11,44.4,4.0,0.0%
113,Tre'Quan Smith (FA),19,27,278,14.6,48,4,1,0,0,0,0,10,43.3,4.3,0.0%
114,Michael Thomas (FA),16,22,171,10.7,21,2,3,0,0,0,0,3,43.1,14.4,1.2%
115,Robbie Chosen (SF),20,44,282,14.1,75,3,1,0,0,0,1,12,42.2,3.5,0.0%
116,Phillip Dorsett II (LV),20,40,257,12.9,34,5,1,0,0,0,0,15,41.7,2.8,0.0%
117,Wan'Dale Robinson (NYG),23,31,227,9.9,19,0,1,2,-1,0,0,6,40.1,6.7,27.5%
118,Sammy Watkins (FA),16,27,325,20.3,55,7,0,0,0,0,1,9,38.5,4.3,0.0%
119,Brandon Powell (FA),24,32,156,6.5,16,0,0,17,80,0,0,17,35.6,2.1,1.4%
120,Ashton Dulin (IND),15,22,207,13.8,39,2,1,2,8,0,0,10,35.0,3.5,0.1%
121,KhaDarel Hodge (ATL),13,20,202,15.5,39,2,1,0,0,0,0,14,34.7,2.5,0.8%
122,David Bell (CLE),24,35,214,8.9,20,1,0,0,0,0,0,16,33.4,2.1,0.0%
123,Skyy Moore (KC),22,33,250,11.4,30,2,0,3,24,0,3,16,32.4,2.0,0.1%
124,Amari Rodgers (FA),16,25,204,12.8,37,3,1,2,7,0,2,15,31.1,2.1,1.0%
125,Scotty Miller (PIT),23,40,185,8.0,23,2,0,1,8,0,0,12,30.8,2.6,0.1%
126,Byron Pringle (FA),10,16,135,13.5,35,3,2,0,0,0,0,10,30.5,3.1,0.0%
127,Velus Jones Jr. (NO),7,14,107,15.3,44,2,1,9,103,1,3,11,30.5,2.8,0.0%
128,Dyami Brown (JAC),5,14,143,28.6,75,2,2,1,15,0,0,9,30.3,3.4,9.5%
129,Marquez Callaway (FA),16,32,158,9.9,33,2,1,0,0,0,0,10,29.8,3.0,0.0%
130,Khalil Shakir (BUF),10,20,161,16.1,31,4,1,0,0,0,0,10,29.1,2.9,83.2%
131,Zach Pascal (NYG),15,19,150,10.0,34,2,1,1,0,0,0,15,28.5,1.9,0.0%
132,Jalen Nailor (MIN),9,13,179,19.9,47,3,1,0,0,0,0,8,28.4,3.6,5.7%
133,Sterling Shepard (TB),13,24,154,11.8,65,1,1,0,0,0,0,3,27.9,9.3,1.0%
134,River Cracraft (FA),9,14,102,11.3,22,1,2,0,0,0,0,8,26.7,3.3,0.0%
135,Keelan Cole Sr. (FA),10,21,141,14.1,30,3,1,0,0,0,0,12,25.1,2.1,0.0%
136,Steven Sims Jr. (SEA),14,23,104,7.4,28,1,0,13,70,0,0,12,24.4,2.0,0.0%
137,Lawrence Cager (WAS),13,19,118,9.1,20,1,1,0,0,0,0,6,24.3,4.1,0.0%
138,Denzel Mims (FA),11,25,186,16.9,63,2,0,0,0,0,0,9,24.1,2.7,0.0%
139,Jalen Reagor (LAC),8,13,104,13.0,38,2,1,4,25,0,0,17,22.9,1.3,0.0%
140,KJ Hamler (BUF),7,14,165,23.6,55,3,0,2,23,0,0,7,22.3,3.2,0.0%
141,N'Keal Harry (FA),7,9,116,16.6,49,1,1,0,0,0,0,6,21.1,3.5,0.0%
142,Cedrick Wilson Jr. (NO),12,18,136,11.3,21,2,0,1,8,0,0,13,20.4,1.6,1.1%
143,DeSean Jackson (FA),9,17,153,17.0,62,2,0,0,0,0,0,7,19.8,2.8,0.6%
144,Breshad Perriman (FA),9,19,110,12.2,28,2,1,2,-7,0,1,8,18.8,2.4,0.0%
145,Tom Kennedy (DET),8,15,141,17.6,44,2,0,0,0,0,0,7,18.1,2.6,0.1%
146,Jeff Smith (FA),8,11,134,16.8,50,2,0,0,0,0,0,7,17.4,2.5,0.0%
