"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"154","Robert Foster (FA)","13","3","64","21.3","32","10.7","0","0.0","32","10.7","2","0.7","0","18","3.7%","4","0","1","3","3","0","0","0","24"
"155","Christian Blake (FA)","9","11","91","8.3","67","6.1","0","0.0","24","2.2","6","0.5","0","24","3.7%","11","0","1","4","0","0","0","0","13"
"156","Antonio Callaway (FA)","5","8","89","11.1","45","5.6","0","0.0","44","5.5","36","4.5","0","15","2.9%","10","2","5","3","1","1","1","0","41"
"157","Damion Willis (FA)","10","9","82","9.1","57","6.3","0","0.0","25","2.8","10","1.1","1","16","2.7%","12","3","0","3","0","0","0","0","17"
"158","Trent Sherfield Sr. (DEN)","16","4","80","20.0","70","17.5","0","0.0","10","2.5","2","0.5","0","13","2.5%","5","1","3","3","2","1","0","0","38"
"159","KhaDarel Hodge (ATL)","16","4","76","19.0","67","16.8","0","0.0","9","2.3","4","1.0","0","10","1.9%","5","1","1","3","1","1","1","0","41"
"160","Riley Ridley (FA)","5","6","69","11.5","54","9.0","0","0.0","15","2.5","4","0.7","0","7","1.2%","6","0","0","4","1","1","0","0","32"
"161","Chris Hogan (FA)","7","8","67","8.4","38","4.8","0","0.0","29","3.6","10","1.3","0","15","2.5%","8","0","1","2","0","0","0","0","13"
"162","Tevin Jones (FA)","5","4","61","15.3","50","12.5","0","0.0","11","2.8","2","0.5","0","10","2.1%","6","2","2","2","1","0","0","0","28"
"163","Chris Lacy (FA)","7","3","60","20.0","51","17.0","0","0.0","9","3.0","3","1.0","0","10","1.8%","4","1","1","1","1","1","1","0","48"
"164","Andre Patton (FA)","13","6","56","9.3","28","4.7","0","0.0","28","4.7","7","1.2","0","17","3.0%","6","0","0","2","0","0","0","0","15"
"165","DeAndrew White (FA)","10","4","51","12.8","23","5.8","0","0.0","28","7.0","6","1.5","0","9","1.5%","4","0","1","3","0","0","0","0","18"
"166","Deontay Burnett (FA)","2","2","48","24.0","42","21.0","0","0.0","6","3.0","1","0.5","0","4","0.7%","2","0","0","1","1","1","1","0","41"
"167","Cedrick Wilson Jr. (NO)","6","5","46","9.2","35","7.0","0","0.0","11","2.2","2","0.4","0","8","1.4%","5","0","0","3","0","0","0","0","14"
"168","Alexander Hollins (FA)","5","2","46","23.0","40","20.0","0","0.0","6","3.0","0","0.0","0","4","0.9%","3","1","1","2","1","1","0","0","35"
"169","Jason Moore Jr. (FA)","10","2","43","21.5","37","18.5","0","0.0","6","3.0","0","0.0","0","5","0.9%","2","0","0","2","1","1","0","0","32"
"170","Geremy Davis (FA)","8","3","38","12.7","36","12.0","0","0.0","2","0.7","0","0.0","0","3","0.5%","3","0","0","2","0","0","0","0","19"
"171","Steven Mitchell Jr. (FA)","4","2","37","18.5","23","11.5","0","0.0","14","7.0","0","0.0","0","6","1.2%","2","0","1","2","1","0","0","0","21"
"172","Ishmael Hyman (FA)","2","2","34","17.0","33","16.5","0","0.0","1","0.5","0","0.0","0","4","0.7%","3","1","0","1","1","1","0","0","31"
